cur_bw_cam;cur_bw_hr;cur_bw_dht;cur_delay_cam;cur_delay_hr;cur_delay_dht;action;reward;next_bw_cam;next_bw_hr;next_bw_dht;next_delay_cam;next_delay_hr;next_delay_dht;next_prio_cam;next_prio_hr;next_prio_dht;next_pkt_cam;next_pkt_hr;next_pkt_dht;done
5.335.488;6.066.624;4.960.224;5.0;2.0;5.0;1;2.974;5.335.488;6.066.624;4.960.224;19.689.170.235.318.500;1.785.149.784.638.830;4.255.167.401.454.530;1;2;0;651;740;605;FALSE
5.335.488;6.066.624;4.960.224;5.0;2.0;5.0;2;29.627;5.335.488;6.066.624;4.960.224;33.944.342.624.868.500;2.886.900.867.215.590;16.546.410.681.551.600;0;1;2;651;740;605;FALSE
5.335.488;6.066.624;4.960.224;5.0;2.0;5.0;3;29.804;5.335.488;6.066.624;4.960.224;15.278.822.954.284.600;13.931.870.415.741.400;26.409.505.818.747.400;1;1;1;651;740;605;FALSE
4.936.952;6.046.776;4.940.968;5.0;2.0;5.0;0;29.786;4.936.952;6.046.776;4.940.968;0.6527321877885885;1.571.566.893.210.780;44.134.875.049.183.500;2;1;0;602;738;603;FALSE
4.936.952;6.046.776;4.940.968;5.0;2.0;5.0;1;29.679;4.936.952;6.046.776;4.940.968;2.121.666.918.850.800;24.193.327.433.957.700;36.529.794.790.853.600;1;2;0;602;738;603;FALSE
4.936.952;6.046.776;4.940.968;5.0;2.0;5.0;2;29.792;4.936.952;6.046.776;4.940.968;2.336.025.903.721.810;15.507.416.518.453.700;0.6703568033733913;0;1;2;602;738;603;FALSE
4.936.952;6.046.776;4.940.968;5.0;2.0;5.0;3;29.674;4.936.952;6.046.776;4.940.968;2.266.265.199.449.380;26.383.070.990.024.100;16.995.019.450.249.200;1;1;1;602;738;603;FALSE
5.497.576;5.803.336;465.008;5.0;2.0;5.0;0;29.615;5.497.576;5.803.336;465.008;14.688.969.529.536.000;31.555.865.646.657.200;4.004.514.587.193.770;2;1;0;671;708;567;FALSE
5.497.576;5.803.336;465.008;5.0;2.0;5.0;1;29.779;5.497.576;5.803.336;465.008;17.236.196.197.471.000;14.696.173.292.567.500;39.961.623.383.287.400;1;2;0;671;708;567;FALSE
5.497.576;5.803.336;465.008;5.0;2.0;5.0;2;29.709;5.497.576;5.803.336;465.008;327.084.523.703.303;20.389.417.112.540.600;22.119.296.338.854.700;0;1;2;671;708;567;FALSE
5.497.576;5.803.336;465.008;5.0;2.0;5.0;3;29.784;5.497.576;5.803.336;465.008;13.879.740.224.552.900;15.973.860.331.194.800;2.885.124.869.521.470;1;1;1;671;708;567;FALSE
5.497.576;5.803.336;465.008;5.0;2.0;5.0;0;29.633;5.497.576;5.803.336;465.008;11.915.615.631.437.700;2.960.686.828.849.600;4.671.386.620.989.450;2;1;0;671;708;567;FALSE
5.497.576;5.803.336;465.008;5.0;2.0;5.0;1;29.824;5.497.576;5.803.336;465.008;23.710.189.675.067.800;0.8954714401566086;3.895.103.882.786.850;1;2;0;671;708;567;FALSE
5.497.576;5.803.336;465.008;5.0;2.0;5.0;2;29.758;5.497.576;5.803.336;465.008;2.385.029.161.272.570;17.214.584.906.634.400;2.219.085.884.570.950;0;1;2;671;708;567;FALSE
5.497.576;5.803.336;465.008;5.0;2.0;5.0;3;29.629;5.497.576;5.803.336;465.008;1.621.541.337.090.080;31.148.670.989.507.100;26.809.355.447.387.900;1;1;1;671;708;567;FALSE
5.081.064;5.401.168;5.132.776;5.0;2.0;5.0;0;29.606;5.081.064;5.401.168;5.132.776;24.077.000.084.348.500;29.752.861.280.725.800;4.806.866.751.430.420;2;1;0;620;659;626;FALSE
5.081.064;5.401.168;5.132.776;5.0;2.0;5.0;1;29.742;5.081.064;5.401.168;5.132.776;2.537.605.806.663.820;16.514.094.762.294.400;4.225.167.421.977.440;1;2;0;620;659;626;FALSE
5.081.064;5.401.168;5.132.776;5.0;2.0;5.0;2;29.727;5.081.064;5.401.168;5.132.776;19.801.862.309.528.300;22.495.460.152.533.000;0.7960379651376559;0;1;2;620;659;626;FALSE
5.081.064;5.401.168;5.132.776;5.0;2.0;5.0;3;29.697;5.081.064;5.401.168;5.132.776;2.861.977.924.832.270;2.173.963.865.717.460;2.808.286.121.317.730;1;1;1;620;659;626;FALSE
4.745.384;5.305;4.916.904;5.0;2.0;5.0;0;29.677;4.745.384;5.305;4.916.904;0.9786615235185614;26.259.867.648.285.600;4.053.644.479.949.580;2;1;0;579;647;600;FALSE
4.745.384;5.305;4.916.904;5.0;2.0;5.0;1;29.683;4.745.384;5.305;4.916.904;2.334.615.439.833.060;23.064.261.480.509.900;3.921.871.060.872.460;1;2;0;579;647;600;FALSE
4.745.384;5.305;4.916.904;5.0;2.0;5.0;2;29.638;4.745.384;5.305;4.916.904;30.866.805.140.563.100;28.458.214.658.700.500;15.443.352.991.707.200;0;1;2;579;647;600;FALSE
4.745.384;5.305;4.916.904;5.0;2.0;5.0;3;29.713;4.745.384;5.305;4.916.904;1.259.313.686.448.740;23.739.829.320.877.600;2.409.168.521.890.170;1;1;1;579;647;600;FALSE
2.263.344;2.199.856;0.618688;5.0;2.0;5.0;0;2.972;2.263.344;2.199.856;0.618688;16.609.125.310.078.400;21.115.819.804.090.600;36.080.151.296.036.500;2;1;0;276;268;75;FALSE
2.263.344;2.199.856;0.618688;5.0;2.0;5.0;1;29.718;2.263.344;2.199.856;0.618688;2.971.864.897.882.410;19.116.837.260.043.200;3.162.664.558.783.100;1;2;0;276;268;75;FALSE
2.263.344;2.199.856;0.618688;5.0;2.0;5.0;2;29.629;2.263.344;2.199.856;0.618688;2.293.283.957.861.210;3.178.540.501.884.430;0.7108044869232653;0;1;2;276;268;75;FALSE
2.263.344;2.199.856;0.618688;5.0;2.0;5.0;3;29.782;2.263.344;2.199.856;0.618688;13.527.721.852.218.900;17.603.316.100.408.700;1.507.036.785.296.500;1;1;1;276;268;75;FALSE
2.166.232;202.236;0.190472;5.0;2.0;5.0;0;29.815;2.166.232;202.236;0.190472;0.9560181466132629;13.386.397.154.196.600;31.787.624.732.053.700;2;1;0;264;246;23;FALSE
2.166.232;202.236;0.190472;5.0;2.0;5.0;1;2.981;2.166.232;202.236;0.190472;17.603.202.354.238.300;11.814.283.396.209.900;3.663.795.196.850.000;1;2;0;264;246;23;FALSE
2.166.232;202.236;0.190472;5.0;2.0;5.0;2;29.711;2.166.232;202.236;0.190472;2.760.751.441.210.420;22.507.492.201.518.600;0.8308644074453;0;1;2;264;246;23;FALSE
2.166.232;202.236;0.190472;5.0;2.0;5.0;3;29.683;2.166.232;202.236;0.190472;19.512.997.659.953.900;2.501.610.131.713.930;27.624.646.516.769.600;1;1;1;264;246;23;FALSE
2.437.176;2.457.144;0.62316;5.0;2.0;5.0;0;29.726;2.437.176;2.457.144;0.62316;14.837.649.111.954.300;20.660.368.376.497.600;375.840.469.146.051;2;1;0;297;299;76;FALSE
2.437.176;2.457.144;0.62316;5.0;2.0;5.0;1;29.793;2.437.176;2.457.144;0.62316;27.258.996.856.963.000;1.243.693.450.285.680;27.937.126.220.118.100;1;2;0;297;299;76;FALSE
2.437.176;2.457.144;0.62316;5.0;2.0;5.0;2;29.614;2.437.176;2.457.144;0.62316;32.237.236.944.731.300;29.962.051.534.014.400;218.555.272.437.598;0;1;2;297;299;76;FALSE
2.437.176;2.457.144;0.62316;5.0;2.0;5.0;3;29.739;2.437.176;2.457.144;0.62316;16.721.830.849.441.400;19.999.470.516.647.900;2.771.187.383.908.450;1;1;1;297;299;76;FALSE
0.350224;0.30824;0.350224;5.0;2.0;5.0;0;2.977;0.350224;0.30824;0.350224;17.621.174.594.339.500;162.025.291.572.374;3.239.011.259.935.480;2;1;0;42;37;42;FALSE
0.350224;0.30824;0.350224;5.0;2.0;5.0;1;29.835;0.350224;0.30824;0.350224;2.506.468.775.274.930;0.8088637567270416;34.275.877.915.694.300;1;2;0;42;37;42;FALSE
0.350224;0.30824;0.350224;5.0;2.0;5.0;2;29.664;0.350224;0.30824;0.350224;31.202.016.283.473.000;2.547.289.944.512.180;19.156.088.348.696.400;0;1;2;42;37;42;FALSE
0.350224;0.30824;0.350224;5.0;2.0;5.0;3;29.714;0.350224;0.30824;0.350224;19.409.878.300.037.700;22.500.371.045.938.400;21.680.981.995.027.200;1;1;1;42;37;42;FALSE
0.350224;0.30824;0.350224;5.0;2.0;5.0;0;2.98;0.350224;0.30824;0.350224;1.193.454.497.331.200;14.632.860.856.626.500;29.693.782.871.667.300;2;1;0;42;37;42;FALSE
0.350224;0.30824;0.350224;5.0;2.0;5.0;1;29.868;0.350224;0.30824;0.350224;14.521.684.185.718.300;0.7314627172035484;30.154.902.343.905.600;1;2;0;42;37;42;FALSE
0.350224;0.30824;0.350224;5.0;2.0;5.0;2;2.978;0.350224;0.30824;0.350224;18.414.437.678.330.700;16.804.246.815.291.800;1.562.340.317.184.860;0;1;2;42;37;42;FALSE
0.350224;0.30824;0.350224;5.0;2.0;5.0;3;29.811;0.350224;0.30824;0.350224;19.605.953.945.460.100;1.352.383.486.696.140;14.457.872.342.733.300;1;1;1;42;37;42;FALSE
3.253.904;2.960.528;207.784;5.0;2.0;5.0;0;29.671;3.253.904;2.960.528;207.784;2.004.071.411.585.550;2.583.637.298.410.900;30.999.993.619.333.900;2;1;0;397;361;253;FALSE
3.253.904;2.960.528;207.784;5.0;2.0;5.0;1;29.863;3.253.904;2.960.528;207.784;2.122.096.171.708.930;0.5741579204321279;37.168.187.988.530.600;1;2;0;397;361;253;FALSE
3.253.904;2.960.528;207.784;5.0;2.0;5.0;2;2.962;3.253.904;2.960.528;207.784;27.511.911.511.885.400;31.079.778.122.064.700;14.294.331.565.706.800;0;1;2;397;361;253;FALSE
3.253.904;2.960.528;207.784;5.0;2.0;5.0;3;29.777;3.253.904;2.960.528;207.784;16.187.326.176.609.000;1.731.776.463.209.320;17.594.723.518.768.500;1;1;1;397;361;253;FALSE
202.376;2.709.328;1.388.368;5.0;2.0;5.0;0;29.665;202.376;2.709.328;1.388.368;0.9733100881407606;284.073.404.275.433;31.907.750.226.568.100;2;1;0;247;330;169;FALSE
202.376;2.709.328;1.388.368;5.0;2.0;5.0;1;29.788;202.376;2.709.328;1.388.368;16.994.764.988.510.900;15.157.725.206.745.000;26.266.265.442.183.900;1;2;0;247;330;169;FALSE
202.376;2.709.328;1.388.368;5.0;2.0;5.0;2;29.621;202.376;2.709.328;1.388.368;30.945.135.465.565.300;29.546.868.123.402.300;22.040.679.933.626.000;0;1;2;247;330;169;FALSE
202.376;2.709.328;1.388.368;5.0;2.0;5.0;3;29.771;202.376;2.709.328;1.388.368;2.012.047.171.642.660;1.665.536.532.338.640;2.188.867.392.600.410;1;1;1;247;330;169;FALSE
1.963.008;1.963.008;0.10608;5.0;2.0;5.0;0;29.791;1.963.008;1.963.008;0.10608;2.210.208.182.922.090;13.591.495.002.042.700;28.829.723.665.656.600;2;1;0;239;239;12;FALSE
1.963.008;1.963.008;0.10608;5.0;2.0;5.0;1;29.757;1.963.008;1.963.008;0.10608;2.613.443.608.903.530;15.469.387.573.180.000;35.753.818.927.810.600;1;2;0;239;239;12;FALSE
1.963.008;1.963.008;0.10608;5.0;2.0;5.0;2;29.694;1.963.008;1.963.008;0.10608;22.198.860.628.846.800;2.416.399.934.840.140;2.000.067.461.075.960;0;1;2;239;239;12;FALSE
1.963.008;1.963.008;0.10608;5.0;2.0;5.0;3;29.748;1.963.008;1.963.008;0.10608;12.493.036.528.027.300;2.092.932.675.012.100;17.468.343.627.376.800;1;1;1;239;239;12;FALSE
1.963.008;1.963.008;0.10608;5.0;2.0;5.0;0;29.647;1.963.008;1.963.008;0.10608;2.500.288.269.409.670;26.283.822.536.089.500;39.958.425.549.132.800;2;1;0;239;239;12;FALSE
1.963.008;1.963.008;0.10608;5.0;2.0;5.0;1;29.764;1.963.008;1.963.008;0.10608;23.217.013.588.976.000;1.608.167.802.270.960;28.418.661.588.112.100;1;2;0;239;239;12;FALSE
1.963.008;1.963.008;0.10608;5.0;2.0;5.0;2;29.788;1.963.008;1.963.008;0.10608;3.358.477.745.496.150;13.439.440.985.670.200;10.085.444.894.158.300;0;1;2;239;239;12;FALSE
1.963.008;1.963.008;0.10608;5.0;2.0;5.0;3;29.729;1.963.008;1.963.008;0.10608;13.083.815.117.789.600;22.609.002.051.119.400;18.565.300.251.759.600;1;1;1;239;239;12;FALSE
1.985.896;1.985.896;0.161032;5.0;2.0;5.0;0;29.768;1.985.896;1.985.896;0.161032;2.007.442.079.595.320;15.746.256.284.333.600;34.786.586.444.151.100;2;1;0;242;242;19;FALSE
1.985.896;1.985.896;0.161032;5.0;2.0;5.0;1;29.785;1.985.896;1.985.896;0.161032;2.982.801.295.349.860;12.922.109.392.106.100;2.568.878.355.485.940;1;2;0;242;242;19;FALSE
1.985.896;1.985.896;0.161032;5.0;2.0;5.0;2;29.758;1.985.896;1.985.896;0.161032;23.882.717.875.826.700;1.812.247.190.845.120;1.282.050.045.837.860;0;1;2;242;242;19;FALSE
1.985.896;1.985.896;0.161032;5.0;2.0;5.0;3;29.728;1.985.896;1.985.896;0.161032;27.143.051.722.704.400;19.069.597.138.518.500;2.687.722.897.767.010;1;1;1;242;242;19;FALSE
2.004.576;2.004.576;0.161376;5.0;2.0;5.0;0;2.965;2.004.576;2.004.576;0.161376;0.8422078108094664;3.051.155.406.536.120;2.804.258.492.911.850;2;1;0;244;244;19;FALSE
2.004.576;2.004.576;0.161376;5.0;2.0;5.0;1;29.868;2.004.576;2.004.576;0.161376;1.889.893.575.553.230;0.7102296936223662;22.865.123.356.000.300;1;2;0;244;244;19;FALSE
2.004.576;2.004.576;0.161376;5.0;2.0;5.0;2;29.809;2.004.576;2.004.576;0.161376;20.562.677.922.460.000;1.432.243.778.971.020;0.6692500324567832;0;1;2;244;244;19;FALSE
2.004.576;2.004.576;0.161376;5.0;2.0;5.0;3;29.779;2.004.576;2.004.576;0.161376;19.909.248.459.972.200;16.836.164.221.459.500;1.243.576.312.612.090;1;1;1;244;244;19;FALSE
2.004.576;2.004.576;0.161376;5.0;2.0;5.0;0;29.811;2.004.576;2.004.576;0.161376;17.031.815.203.948.500;1.348.441.465.663.570;2.023.665.976.937.500;2;1;0;244;244;19;FALSE
2.004.576;2.004.576;0.161376;5.0;2.0;5.0;1;29.728;2.004.576;2.004.576;0.161376;22.362.101.774.678.500;20.457.389.506.648.800;2.229.430.855.114.710;1;2;0;244;244;19;FALSE
2.004.576;2.004.576;0.161376;5.0;2.0;5.0;2;29.688;2.004.576;2.004.576;0.161376;22.150.549.829.732.000;2.582.758.601.961.920;0.9344581893531299;0;1;2;244;244;19;FALSE
2.004.576;2.004.576;0.161376;5.0;2.0;5.0;3;29.623;2.004.576;2.004.576;0.161376;21.067.407.867.396.900;30.734.535.042.934.400;27.766.917.758.232.400;1;1;1;244;244;19;FALSE
2.109.104;2.108.592;0.106536;5.0;2.0;5.0;0;29.797;2.109.104;2.108.592;0.106536;20.227.316.247.286.500;13.526.291.494.911.300;2.773.113.329.937.380;2;1;0;257;257;13;FALSE
2.109.104;2.108.592;0.106536;5.0;2.0;5.0;1;29.794;2.109.104;2.108.592;0.106536;1.723.955.030.993.080;1.391.945.268.305.350;3.231.002.370.497.730;1;2;0;257;257;13;FALSE
2.109.104;2.108.592;0.106536;5.0;2.0;5.0;2;29.624;2.109.104;2.108.592;0.106536;3.429.790.951.582.260;29.186.337.627.549.700;1.578.714.993.160.770;0;1;2;257;257;13;FALSE
2.109.104;2.108.592;0.106536;5.0;2.0;5.0;3;2.967;2.109.104;2.108.592;0.106536;2.408.537.991.420.700;26.363.422.799.867.100;18.638.191.828.743.300;1;1;1;257;257;13;FALSE
1.959.184;1.959.184;0.118032;5.0;2.0;5.0;0;29.608;1.959.184;1.959.184;0.118032;1.437.096.475.351.170;3.290.977.524.589.330;34.271.536.699.673.500;2;1;0;239;239;14;FALSE
1.959.184;1.959.184;0.118032;5.0;2.0;5.0;1;29.679;1.959.184;1.959.184;0.118032;16.199.558.540.842.200;2.489.085.511.813.840;39.272.476.383.034.800;1;2;0;239;239;14;FALSE
1.959.184;1.959.184;0.118032;5.0;2.0;5.0;2;29.738;1.959.184;1.959.184;0.118032;2.800.025.010.649.300;1.884.815.520.895.070;1.789.283.175.648.720;0;1;2;239;239;14;FALSE
1.959.184;1.959.184;0.118032;5.0;2.0;5.0;3;29.769;1.959.184;1.959.184;0.118032;1.871.869.882.756.140;16.845.812.715.533.600;2.482.535.336.629.070;1;1;1;239;239;14;FALSE
1.964.472;1.964.472;0.122296;5.0;2.0;5.0;0;29.725;1.964.472;1.964.472;0.122296;16.936.405.899.780.600;20.470.270.658.808.200;361.426.301.025.639;2;1;0;239;239;14;FALSE
1.964.472;1.964.472;0.122296;5.0;2.0;5.0;1;29.783;1.964.472;1.964.472;0.122296;15.473.437.509.902.400;15.781.787.425.477.900;2.851.204.601.067.910;1;2;0;239;239;14;FALSE
1.964.472;1.964.472;0.122296;5.0;2.0;5.0;2;29.646;1.964.472;1.964.472;0.122296;15.891.012.609.347.600;3.123.451.288.923.240;0.9907025825047233;0;1;2;239;239;14;FALSE
1.964.472;1.964.472;0.122296;5.0;2.0;5.0;3;2.967;1.964.472;1.964.472;0.122296;14.906.292.212.076.500;28.718.889.161.965.300;12.502.427.846.934.100;1;1;1;239;239;14;FALSE
1.977.784;1.979.216;0.132024;5.0;2.0;5.0;0;29.757;1.977.784;1.979.216;0.132024;0.884716319292371;19.633.743.839.237.100;2.910.515.220.395.820;2;1;0;241;241;16;FALSE
1.977.784;1.979.216;0.132024;5.0;2.0;5.0;1;29.803;1.977.784;1.979.216;0.132024;17.907.060.943.353.300;13.971.527.321.432.700;2.172.166.799.402.490;1;2;0;241;241;16;FALSE
1.977.784;1.979.216;0.132024;5.0;2.0;5.0;2;29.769;1.977.784;1.979.216;0.132024;17.648.971.906.986.800;18.687.680.779.720.800;0.9165634984055904;0;1;2;241;241;16;FALSE
1.977.784;1.979.216;0.132024;5.0;2.0;5.0;3;29.693;1.977.784;1.979.216;0.132024;19.988.311.802.264.100;2.456.004.303.851.640;2.101.678.006.591.750;1;1;1;241;241;16;FALSE
19.998;19.998;0.168936;5.0;2.0;5.0;0;29.698;19.998;19.998;0.168936;0.7299084206764874;26.694.242.700.562;208.056.327.764.596;2;1;0;244;244;20;FALSE
19.998;19.998;0.168936;5.0;2.0;5.0;1;29.824;19.998;19.998;0.168936;2.056.869.233.254.000;11.134.587.026.455.500;23.467.712.855.905.300;1;2;0;244;244;20;FALSE
19.998;19.998;0.168936;5.0;2.0;5.0;2;29.603;19.998;19.998;0.168936;2.931.184.577.995.470;3.157.518.375.080.620;221.260.762.096.255;0;1;2;244;244;20;FALSE
19.998;19.998;0.168936;5.0;2.0;5.0;3;2.98;19.998;19.998;0.168936;14.561.061.593.550.000;14.355.307.274.341.600;2.699.642.397.863.540;1;1;1;244;244;20;FALSE
19.998;19.998;0.168936;5.0;2.0;5.0;0;29.737;19.998;19.998;0.168936;24.734.183.969.100.700;19.044.795.147.318.800;23.022.279.982.041.800;2;1;0;244;244;20;FALSE
19.998;19.998;0.168936;5.0;2.0;5.0;1;29.848;19.998;19.998;0.168936;2.215.648.707.773.150;0.8586452780654692;2.145.403.375.639.320;1;2;0;244;244;20;FALSE
19.998;19.998;0.168936;5.0;2.0;5.0;2;29.697;19.998;19.998;0.168936;31.992.709.128.924.800;22.613.730.370.226.600;12.697.088.446.725.400;0;1;2;244;244;20;FALSE
19.998;19.998;0.168936;5.0;2.0;5.0;3;29.658;19.998;19.998;0.168936;21.562.323.698.482.800;2.760.160.650.167.450;2.269.083.093.375.600;1;1;1;244;244;20;FALSE
2.000.064;19.988;0.154496;5.0;2.0;5.0;0;29.704;2.000.064;19.988;0.154496;0.8443292703197551;25.526.516.516.021.800;24.234.638.665.714.000;2;1;0;244;243;18;FALSE
2.000.064;19.988;0.154496;5.0;2.0;5.0;1;29.819;2.000.064;19.988;0.154496;22.024.214.591.131.800;11.278.529.308.719.900;2.414.922.211.714.720;1;2;0;244;243;18;FALSE
2.000.064;19.988;0.154496;5.0;2.0;5.0;2;29.782;2.000.064;19.988;0.154496;2.601.243.894.127;1.599.079.654.402.690;0.6100696538739823;0;1;2;244;243;18;FALSE
2.000.064;19.988;0.154496;5.0;2.0;5.0;3;29.685;2.000.064;19.988;0.154496;16.671.967.015.264.700;257.431.925.596.756;2.393.795.013.057.370;1;1;1;244;243;18;FALSE
1.879.352;1.879.352;0.041784;5.0;2.0;5.0;0;2.965;1.879.352;1.879.352;0.041784;24.182.131.398.723.500;2.774.119.937.589.380;23.910.322.476.827.000;2;1;0;229;229;5;FALSE
1.879.352;1.879.352;0.041784;5.0;2.0;5.0;1;29.776;1.879.352;1.879.352;0.041784;21.430.001.292.046.000;14.823.496.869.267.200;32.972.805.315.109.200;1;2;0;229;229;5;FALSE
1.879.352;1.879.352;0.041784;5.0;2.0;5.0;2;29.668;1.879.352;1.879.352;0.041784;15.489.869.536.394.300;28.336.212.784.027.000;17.723.399.644.746.000;0;1;2;229;229;5;FALSE
1.879.352;1.879.352;0.041784;5.0;2.0;5.0;3;2.976;1.879.352;1.879.352;0.041784;2.148.542.051.447.730;17.716.424.807.715.800;2.011.302.004.610.150;1;1;1;229;229;5;FALSE
1.879.352;1.879.352;0.041784;5.0;2.0;5.0;0;29.795;1.879.352;1.879.352;0.041784;0.9435844651182672;14.631.613.652.411.600;39.697.990.646.649.800;2;1;0;229;229;5;FALSE
1.879.352;1.879.352;0.041784;5.0;2.0;5.0;1;29.844;1.879.352;1.879.352;0.041784;24.066.075.815.334.800;0.7982426724265808;2.849.828.985.459.920;1;2;0;229;229;5;FALSE
1.879.352;1.879.352;0.041784;5.0;2.0;5.0;2;29.764;1.879.352;1.879.352;0.041784;29.951.320.945.070.600;15.627.238.601.316.400;19.643.418.798.692.400;0;1;2;229;229;5;FALSE
1.879.352;1.879.352;0.041784;5.0;2.0;5.0;3;29.712;1.879.352;1.879.352;0.041784;2.370.807.092.907.000;22.757.460.880.963.300;13.431.230.651.440.400;1;1;1;229;229;5;FALSE
1.917.112;1.923.752;0.074424;5.0;2.0;5.0;0;29.796;1.917.112;1.923.752;0.074424;19.030.510.347.317.100;13.834.533.979.097.700;2.757.992.636.764.020;2;1;0;234;234;9;FALSE
