state,action_continuous,action_discrete,reward,next_state,raw_delay_p1,raw_delay_p2,raw_delay_p4
"[0.17372460991811173, 0.29405680988744703, -3.5123353585017703, -0.7643699482426736, 0.3949473770411426, 0.32943278253319913, 0.34932160320203554, -0.6554876589689717, 0.11438566584786872, -0.034454679148207996, -0.5733917285770213, -0.38457258716108456]",-0.019742103878931806,0,-14.395718895963402,"[-1.500176084173382, -1.0122747006989579, -0.9797005332070249, 1.1305233639664136, -1.0989462361159081, -0.7909773984056847, 0.49405833026005525, 0.11097463666500959, 0.28659365838765904, 0.08450592432052974, -0.584967427829559, -0.4215706537203338]",5.805019,78.365364,6.727483
"[-1.500176084173382, -1.0122747006989579, -0.9797005332070249, 1.1305233639664136, -1.0989462361159081, -0.7909773984056847, 0.49405833026005525, 0.11097463666500959, 0.28659365838765904, 0.08450592432052974, -0.584967427829559, -0.4215706537203338]",-0.27284818236276565,2,-13.699432376929472,"[0.19836507272919832, 0.21155213560139075, -0.25129828264630155, -0.6537786548466994, -0.07254121826185518, -0.14652648106186708, -0.38981580162278756, -0.3678164661054696, 0.28435557927626043, 0.5495521502262942, -1.283705532249657, -0.9228121420683566]",6.0027223,66.2601,6.5180855
"[0.19836507272919832, 0.21155213560139075, -0.25129828264630155, -0.6537786548466994, -0.07254121826185518, -0.14652648106186708, -0.38981580162278756, -0.3678164661054696, 0.28435557927626043, 0.5495521502262942, -1.283705532249657, -0.9228121420683566]",0.514246185397327,1,-13.72865050051159,"[0.22664754223818975, -0.33557853675511606, 0.5133982056447642, 0.483770882547978, -0.12771382109827883, -0.6092342860057469, -1.0834724669933935, 1.178393457495422, -0.4546393506783245, -0.40616003231682574, -1.424459227888543, -0.2358669016977364]",6.2102766,56.759995,6.4759045
"[0.22664754223818975, -0.33557853675511606, 0.5133982056447642, 0.483770882547978, -0.12771382109827883, -0.6092342860057469, -1.0834724669933935, 1.178393457495422, -0.4546393506783245, -0.40616003231682574, -1.424459227888543, -0.2358669016977364]",-0.5789475139977256,2,-19.02829057456441,"[0.24239782375659083, 1.8414564454337057, -0.3300233617374529, -1.5185642012889777, -0.5171281833632977, -0.6676059845616086, -1.2753531577732007, 0.7563962953325899, -0.4342721312148207, 0.6541803527822236, -0.24605971777623367, -1.4069473266367059]",5.9813547,54.132057,6.8290467
"[0.24239782375659083, 1.8414564454337057, -0.3300233617374529, -1.5185642012889777, -0.5171281833632977, -0.6676059845616086, -1.2753531577732007, 0.7563962953325899, -0.4342721312148207, 0.6541803527822236, -0.24605971777623367, -1.4069473266367059]",1.5003436077454537,1,-13.215675979949092,"[-1.0120400549312383, -0.7804354500133719, -0.8897729102885602, 0.3284790934680701, 0.7468708042855922, -0.22834041403144226, 0.23084890976895722, 0.7269198156447201, 0.5953622153201484, 0.06262640418649952, 0.11137645225680874, -0.12911315905304788]",5.8294272,74.76053,6.936163
"[-1.0120400549312383, -0.7804354500133719, -0.8897729102885602, 0.3284790934680701, 0.7468708042855922, -0.22834041403144226, 0.23084890976895722, 0.7269198156447201, 0.5953622153201484, 0.06262640418649952, 0.11137645225680874, -0.12911315905304788]",0.7324229487667134,1,-14.72687960942332,"[-0.7238606249747519, -0.3418989335289803, -0.2566821796715121, -0.7302946634411019, -1.6212689193347007, -1.042773973463832, -0.8621787951814917, 0.7326490844418375, 0.038388886685761674, -0.6091350045962807, -0.8250385541784481, 1.4306023942557498]",6.001261,59.790764,6.6555386
"[-0.7238606249747519, -0.3418989335289803, -0.2566821796715121, -0.7302946634411019, -1.6212689193347007, -1.042773973463832, -0.8621787951814917, 0.7326490844418375, 0.038388886685761674, -0.6091350045962807, -0.8250385541784481, 1.4306023942557498]",-0.6952637335445581,2,-13.401193312427147,"[-0.9549436758505312, -0.31773132568600554, -0.40013965838207693, -1.0671845442494712, 0.4265784979497074, 0.0010504659586160858, 0.1661197756785764, -0.1633443883403466, 0.27745486823391136, 0.8648800623810452, -0.6429116609833626, -1.1343952095607825]",5.9623237,73.87402,6.7101183
"[-0.9549436758505312, -0.31773132568600554, -0.40013965838207693, -1.0671845442494712, 0.4265784979497074, 0.0010504659586160858, 0.1661197756785764, -0.1633443883403466, 0.27745486823391136, 0.8648800623810452, -0.6429116609833626, -1.1343952095607825]",0.8264793927889995,1,-18.508619941617273,"[-0.06493358678033105, 0.33814968569667414, 0.06375419614020812, -0.9761376018377426, 0.3297235342594551, 1.1008496458513577, -0.6418002289381171, -1.240307472753809, 0.2998085349216777, -0.03994222469778086, 1.1472029899264018, -0.2052286755174897]",6.088234,62.809,7.246579
"[-0.06493358678033105, 0.33814968569667414, 0.06375419614020812, -0.9761376018377426, 0.3297235342594551, 1.1008496458513577, -0.6418002289381171, -1.240307472753809, 0.2998085349216777, -0.03994222469778086, 1.1472029899264018, -0.2052286755174897]",-0.6506424727248296,2,-16.862186889897828,"[3.208341224582361, 2.456690662773041, -0.5426406875834734, -0.7950087665533123, 2.860511722060293, 0.9701115127278978, 0.67485582432257, 0.057753309673964574, 2.918569505972825, 5.7953099111625805, 1.1721996930399101, -1.5412663854058763]",5.923646,80.84151,7.25407
"[3.208341224582361, 2.456690662773041, -0.5426406875834734, -0.7950087665533123, 2.860511722060293, 0.9701115127278978, 0.67485582432257, 0.057753309673964574, 2.918569505972825, 5.7953099111625805, 1.1721996930399101, -1.5412663854058763]",0.726326747388774,1,-17.6120257331665,"[1.9393942153188202, 1.218104076624352, -0.19212331153084405, -0.5789908859277593, 1.6475451392695273, -0.0629700200720272, 0.9878090779983563, 1.1277937162316178, -0.9735759917700695, -0.35955461375867104, -0.492587074426019, -1.020217526466588]",6.0187836,85.12762,6.7551675
"[1.9393942153188202, 1.218104076624352, -0.19212331153084405, -0.5789908859277593, 1.6475451392695273, -0.0629700200720272, 0.9878090779983563, 1.1277937162316178, -0.9735759917700695, -0.35955461375867104, -0.492587074426019, -1.020217526466588]",-0.3749495610029613,2,-17.14110024805557,"[2.4224230006189935, 3.478630413514722, 0.44213755916367015, -1.2951016276788823, 2.426318310650987, 0.9962413921358723, 0.6109064977381233, -0.17987333963126123, 0.15485891817590064, 1.617917148851695, 0.9424886339926533, -1.4845641163609613]",6.190935,79.96568,7.1852303
"[2.4224230006189935, 3.478630413514722, 0.44213755916367015, -1.2951016276788823, 2.426318310650987, 0.9962413921358723, 0.6109064977381233, -0.17987333963126123, 0.15485891817590064, 1.617917148851695, 0.9424886339926533, -1.4845641163609613]",1.9435883131658214,1,-13.652951908856293,"[-0.07517803510481132, 0.24069683322873686, 0.0033191875357845837, -0.8927729029638809, 0.1248454284359048, -0.488577552403764, 0.23967825835018625, 0.9397089365888133, -0.34555220015948745, -0.4415395812168781, 1.9614261296827524, 0.01992397525390109]",6.0718307,74.881454,7.490585
"[-0.07517803510481132, 0.24069683322873686, 0.0033191875357845837, -0.8927729029638809, 0.1248454284359048, -0.488577552403764, 0.23967825835018625, 0.9397089365888133, -0.34555220015948745, -0.4415395812168781, 1.9614261296827524, 0.01992397525390109]",-0.7548796075730967,2,-18.814446716661074,"[0.09714350820797148, 1.1236884758138423, 1.13009518535277, -1.3490190100037305, -0.13231369440201476, -0.6210105050029473, -0.2627769081338905, 1.2473161112771531, -0.13324601344061587, 2.1598679319885514, 1.4665551427875771, -1.7001187667595081]",6.3776608,67.999985,7.3422823
"[0.09714350820797148, 1.1236884758138423, 1.13009518535277, -1.3490190100037305, -0.13231369440201476, -0.6210105050029473, -0.2627769081338905, 1.2473161112771531, -0.13324601344061587, 2.1598679319885514, 1.4665551427875771, -1.7001187667595081]",4.874061642714085,1,-13.742642900509114,"[-0.12955731428343803, -0.07285886479203885, 0.5250108143040136, -0.5414256772768473, -0.04968636846825777, -0.28437334672828335, -0.3067984291418436, -0.03461087898629951, 0.2959526328831871, -0.45997021289514417, 0.4609121825232606, 1.022156304735254]",6.2134285,67.39708,7.0409117
"[-0.12955731428343803, -0.07285886479203885, 0.5250108143040136, -0.5414256772768473, -0.04968636846825777, -0.28437334672828335, -0.3067984291418436, -0.03461087898629951, 0.2959526328831871, -0.45997021289514417, 0.4609121825232606, 1.022156304735254]",-0.4784634814402818,2,-13.490225446427303,"[-0.25095195717432556, -0.7049487870663892, -1.2174688705103789, 1.700255674569087, 0.34774021619457796, -0.20810356099417618, -1.0710393563089005, 0.2214493017844279, -0.23065606324494353, -0.13444378907961782, 0.7836412761868492, -0.5475857173596539]",5.7404838,56.930275,7.137627
"[-0.25095195717432556, -0.7049487870663892, -1.2174688705103789, 1.700255674569087, 0.34774021619457796, -0.20810356099417618, -1.0710393563089005, 0.2214493017844279, -0.23065606324494353, -0.13444378907961782, 0.7836412761868492, -0.5475857173596539]",-0.3689565882639506,2,-13.776853268301608,"[-0.03236124553900437, -0.4658507210627093, 1.7946146405190915, 0.61962203068655, -0.13252174807925002, -0.11518303782475278, -0.8082124649866772, -0.486073961067925, -0.20240253976164285, 0.4917352970848088, -0.3120592227650403, -1.178891084900571]",6.558025,60.52987,6.809268
"[-0.03236124553900437, -0.4658507210627093, 1.7946146405190915, 0.61962203068655, -0.13252174807925002, -0.11518303782475278, -0.8082124649866772, -0.486073961067925, -0.20240253976164285, 0.4917352970848088, -0.3120592227650403, -1.178891084900571]",1.442348695063515,1,-13.505548879410469,"[-1.0145443064668223, -0.8173714548353939, 1.040673788021976, 0.622472184902492, 0.30462188186666456, 0.39973622925264896, -0.2427790075006834, -0.7894289164580177, -0.3539088509072773, -0.542406901386233, 0.17256248184296877, 0.37848576613167895]",6.35339,68.27387,6.9544992
"[-1.0145443064668223, -0.8173714548353939, 1.040673788021976, 0.622472184902492, 0.30462188186666456, 0.39973622925264896, -0.2427790075006834, -0.7894289164580177, -0.3539088509072773, -0.542406901386233, 0.17256248184296877, 0.37848576613167895]",-0.16400506889674085,2,-13.62674381478126,"[0.14806910657354014, -0.3870895277869075, 1.0941049040342372, 0.5646927858614792, 0.07215396840443274, -0.5349686793538332, 0.26681570558804574, 1.095688756850351, 0.07398663332328023, -0.2219592477364362, -0.7925712037641067, -0.05401650113220422]",6.3678923,75.25312,6.6652684
"[0.14806910657354014, -0.3870895277869075, 1.0941049040342372, 0.5646927858614792, 0.07215396840443274, -0.5349686793538332, 0.26681570558804574, 1.095688756850351, 0.07398663332328023, -0.2219592477364362, -0.7925712037641067, -0.05401650113220422]",-0.7478939843271007,2,-13.656208343630958,"[-0.40740668166797145, -0.20522885643864136, -0.39195199372791334, -0.6045359517298984, 0.05879236342829056, -0.5231846330024963, 1.2248800518411254, 1.009279030195477, -1.2009725392750765, 0.20254354482816628, -0.15580229889689715, -1.7028424045016193]",5.964546,88.37447,6.856095
"[-0.40740668166797145, -0.20522885643864136, -0.39195199372791334, -0.6045359517298984, 0.05879236342829056, -0.5231846330024963, 1.2248800518411254, 1.009279030195477, -1.2009725392750765, 0.20254354482816628, -0.15580229889689715, -1.7028424045016193]",4.469729127963566,1,-14.61937551199646,"[0.18189051624729188, -0.5553996989385788, 0.4055714186067618, 1.446885101043754, -1.4068983364636491, -0.9689993667772663, 0.357555581895307, 0.7290308245143983, 0.16603850531937717, -0.4484846737368919, 0.19060108519245594, 0.7814297730154202]",6.1810102,76.495865,6.959905
"[0.18189051624729188, -0.5553996989385788, 0.4055714186067618, 1.446885101043754, -1.4068983364636491, -0.9689993667772663, 0.357555581895307, 0.7290308245143983, 0.16603850531937717, -0.4484846737368919, 0.19060108519245594, 0.7814297730154202]",0.09914718722914265,1,-13.623274567400253,"[0.24728062214421068, -0.17571213126670832, -0.9686276774487482, 0.048101622859557165, 0.17340738865350827, -0.5784481759525033, -0.0622400619754824, 1.540903316467036, -0.1644782469965636, -0.6142338693598284, 2.1607737525211257, 1.0828443058148804]",5.8080244,70.746475,7.5503254
"[0.24728062214421068, -0.17571213126670832, -0.9686276774487482, 0.048101622859557165, 0.17340738865350827, -0.5784481759525033, -0.0622400619754824, 1.540903316467036, -0.1644782469965636, -0.6142338693598284, 2.1607737525211257, 1.0828443058148804]",-0.06284930169038783,2,-14.59767002464279,"[-1.4946395647488837, -0.9323299880081459, 0.31202800389979024, -0.18643949711525912, -1.3681971831113695, -0.7324603454986093, -0.30834709180109926, -0.908092490809923, 0.0068592186568104015, -0.5214588387885756, 0.33677056632770214, 0.8728342454689514]",6.1556206,67.37587,7.003709
"[-1.4946395647488837, -0.9323299880081459, 0.31202800389979024, -0.18643949711525912, -1.3681971831113695, -0.7324603454986093, -0.30834709180109926, -0.908092490809923, 0.0068592186568104015, -0.5214588387885756, 0.33677056632770214, 0.8728342454689514]",0.029143249034807316,0,-18.480238411103365,"[0.6862003664407097, -0.3337471587118549, 1.371320520246457, 1.068967505473688, 0.35278004054075396, 1.2232078276470015, -0.3596128639046724, -1.28345499923265, 0.4267628824294803, -0.4056688461736617, 0.4209638404242119, 0.9640956279931082]",6.4431343,66.67375,7.02894
"[0.6862003664407097, -0.3337471587118549, 1.371320520246457, 1.068967505473688, 0.35278004054075396, 1.2232078276470015, -0.3596128639046724, -1.28345499923265, 0.4267628824294803, -0.4056688461736617, 0.4209638404242119, 0.9640956279931082]",-0.07788025727031973,2,-13.61607329574713,"[0.0957013157789845, -0.5205931168844505, 0.13897917109534852, 1.0917441712312792, 0.13975457290276605, 0.13423637435061592, 0.19050847447370411, -0.6147295211528239, -0.16899725974222168, -0.5479620694980416, 0.32042977669389555, 0.7131080179152852]",6.1086516,74.20804,6.998812
"[0.0957013157789845, -0.5205931168844505, 0.13897917109534852, 1.0917441712312792, 0.13975457290276605, 0.13423637435061592, 0.19050847447370411, -0.6147295211528239, -0.16899725974222168, -0.5479620694980416, 0.32042977669389555, 0.7131080179152852]",0.09263047155213625,1,-14.620137383751356,"[-0.1286893358740434, -0.6754634743532862, -1.2706181360316862, 1.720166142140984, -1.4121319138867339, -0.6626295475803142, -0.6472166784142568, -1.201105269626849, -0.14353413604521745, -0.5917459858620455, 0.10183292390216787, 0.9883825930742768]",5.726058,62.734818,6.933303
"[-0.1286893358740434, -0.6754634743532862, -1.2706181360316862, 1.720166142140984, -1.4121319138867339, -0.6626295475803142, -0.6472166784142568, -1.201105269626849, -0.14353413604521745, -0.5917459858620455, 0.10183292390216787, 0.9883825930742768]",0.18314272001379486,1,-14.579490168259124,"[1.235065961838546, 0.2784149905729419, 1.7104500311685689, 0.026094721059677476, -1.3176341627754975, -0.8672802641063133, 0.8763093823945539, -0.048483780344402524, -1.4790576765707075, -1.0367670518549186, 1.0462251187586173, 1.583051449024141]",6.535181,83.600555,7.216318
"[1.235065961838546, 0.2784149905729419, 1.7104500311685689, 0.026094721059677476, -1.3176341627754975, -0.8672802641063133, 0.8763093823945539, -0.048483780344402524, -1.4790576765707075, -1.0367670518549186, 1.0462251187586173, 1.583051449024141]",-0.7553470106199566,2,-13.468892350479038,"[0.4819984895488166, 0.04680519412107528, 0.056236709320087785, -0.1822273800787398, 0.3506870147544113, 0.2762698176660676, 1.5622855279571861, -0.6271597010741865, -0.10782352185462875, 0.8408369526116455, -0.06790173109339162, -1.3187599660457785]",6.0861936,92.99547,6.882437
"[0.4819984895488166, 0.04680519412107528, 0.056236709320087785, -0.1822273800787398, 0.3506870147544113, 0.2762698176660676, 1.5622855279571861, -0.6271597010741865, -0.10782352185462875, 0.8408369526116455, -0.06790173109339162, -1.3187599660457785]",0.048388411367416145,0,-14.08605224616914,"[0.11133428346593319, -0.2945888550409025, 0.5911410449857446, 0.20825985934943825, -0.6626678271575093, -0.7563755678546996, -1.171655334044307, 1.0646460321166118, -0.6821894432976708, 0.14967725016051675, -1.2327884726490133, -1.273280583396688]",6.2313776,55.55227,6.5333443
"[0.11133428346593319, -0.2945888550409025, 0.5911410449857446, 0.20825985934943825, -0.6626678271575093, -0.7563755678546996, -1.171655334044307, 1.0646460321166118, -0.6821894432976708, 0.14967725016051675, -1.2327884726490133, -1.273280583396688]",0.8661812559096713,1,-13.48779155888125,"[-1.1232605932033823, -0.8179549909113786, 0.30595771803190686, 0.27337937677596535, 0.36893014800885476, 0.07736970741319969, -0.05931979969085599, -0.34389010199444253, 0.1741931580984991, 0.020497806006819937, 1.4518951486895149, -0.4197792777041621]",6.153973,70.78647,7.337889
"[-1.1232605932033823, -0.8179549909113786, 0.30595771803190686, 0.27337937677596535, 0.36893014800885476, 0.07736970741319969, -0.05931979969085599, -0.34389010199444253, 0.1741931580984991, 0.020497806006819937, 1.4518951486895149, -0.4197792777041621]",1.1154896352581583,1,-13.600074849980016,"[0.02016668223406795, 0.7532211635702619, -1.1159245861805058, -1.212139751186663, 0.1766465952276096, -0.17712742556036118, -0.4102674947325269, -0.04130980350044634, -0.2686319071409464, -0.71863003052909, 0.7065656055800108, 1.6314526643675338]",5.768045,65.98,7.114529
"[0.02016668223406795, 0.7532211635702619, -1.1159245861805058, -1.212139751186663, 0.1766465952276096, -0.17712742556036118, -0.4102674947325269, -0.04130980350044634, -0.2686319071409464, -0.71863003052909, 0.7065656055800108, 1.6314526643675338]",-0.690571425209083,2,-14.363397242720065,"[-0.5139351360785588, -0.768972411237769, -0.1968878743399889, 1.6529832575066314, -1.0414407842823823, -0.8851094403100568, -0.5459405658791172, 1.2168897550272264, -1.008292305316015, -0.3661134817873166, -0.4395410738847256, -1.054935326047636]",6.0174904,64.121864,6.7710643
"[-0.5139351360785588, -0.768972411237769, -0.1968878743399889, 1.6529832575066314, -1.0414407842823823, -0.8851094403100568, -0.5459405658791172, 1.2168897550272264, -1.008292305316015, -0.3661134817873166, -0.4395410738847256, -1.054935326047636]",-0.4662726482059393,2,-18.6075112845636,"[0.2212259159048816, 0.3609513347945128, -0.24418128142574422, -0.798587817208563, 0.11316175605468046, -0.4411842305752287, -0.37358222458212886, 0.7053270628822549, 0.06908814448269861, 2.0497932335773745, -0.5763348726360401, -1.61619067187485]",6.004654,66.48243,6.73007
"[0.2212259159048816, 0.3609513347945128, -0.24418128142574422, -0.798587817208563, 0.11316175605468046, -0.4411842305752287, -0.37358222458212886, 0.7053270628822549, 0.06908814448269861, 2.0497932335773745, -0.5763348726360401, -1.61619067187485]",0.825994750028999,1,-16.511644222330272,"[-0.14031132932107224, 0.7079476670428618, 1.8346889907163255, -1.2761023592689527, 0.7390075448275407, -0.41182937112307094, 1.0543555724653932, 1.4693259841942732, 0.7160359019900738, 1.1646403105155214, -0.47441132456765983, -1.0855295181994955]",6.568902,86.03902,6.7606144
